Environment,Participant,Acceptance Value,Density Value
Rural Cargo,N01,1,0.2758621
Rural Cargo,N01,1,0.8571429
Rural Cargo,N01,1,1.217391
Rural Cargo,N01,1,1.775281
Rural Cargo,N02,4,0.2758621
Rural Cargo,N02,4,0.8571429
Rural Cargo,N02,2,1.246377
Rural Cargo,N02,1,1.775281
Rural Cargo,N02,1,2.238532
Rural Cargo,N03,4,0.2758621
Rural Cargo,N03,2,0.8571429
Rural Cargo,N03,2,1.246377
Rural Cargo,N03,1,1.775281
Rural Cargo,N04,4,0.2758621
Rural Cargo,N04,4,0.8571429
Rural Cargo,N04,3,1.246377
Rural Cargo,N04,3,1.775281
Rural Cargo,N04,2,2.238532
Rural Cargo,N04,2,2.775194
Rural Cargo,N04,2,3.221477
Rural Cargo,N04,2,3.751479
Rural Cargo,N05,4,0.2758621
Rural Cargo,N05,4,0.8571429
Rural Cargo,N05,2,1.246377
Rural Cargo,N05,2,1.775281
Rural Cargo,N05,1,2.238532
Rural Cargo,N05,1,2.775194
Rural Cargo,N06,4,0.2758621
Rural Cargo,N06,4,0.8571429
Rural Cargo,N06,4,1.246377
Rural Cargo,N06,4,1.775281
Rural Cargo,N06,4,2.238532
Rural Cargo,N06,3,2.703125
Rural Cargo,N06,3,3.221477
Rural Cargo,N06,3,3.727811
Rural Cargo,N07,2,0.2758621
Rural Cargo,N07,2,0.8571429
Rural Cargo,N07,2,1.217391
Rural Cargo,N07,1,1.775281
Rural Cargo,N07,1,2.220183
Rural Cargo,N07,1,2.775194
Rural Cargo,N07,1,3.221477
Rural Cargo,N07,1,3.727811
Rural Cargo,N08,4,0.2758621
Rural Cargo,N08,3,0.8571429
Rural Cargo,N08,3,1.217391
Rural Cargo,N08,3,1.775281
Rural Cargo,N08,3,2.238532
Rural Cargo,N08,3,2.775194
Rural Cargo,N08,3,3.221477
Rural Cargo,N08,3,3.727811
Rural Cargo,N09,5,0.2758621
Rural Cargo,N09,2,0.8571429
Rural Cargo,N09,2,1.217391
Rural Cargo,N09,2,1.775281
Rural Cargo,N09,3,2.220183
Rural Cargo,N09,2,2.775194
Rural Cargo,N09,2,3.221477
Rural Cargo,N09,2,3.727811
Rural Cargo,N10,3,0.2758621
Rural Cargo,N10,3,0.8571429
Rural Cargo,N10,3,1.217391
Rural Cargo,N10,2,1.775281
Rural Cargo,N10,2,2.220183
Rural Cargo,N10,2,2.775194
Rural Cargo,N10,2,3.221477
Rural Cargo,N10,2,3.715976
Rural Cargo,N11,4,0.2758621
Rural Cargo,N11,2,0.8571429
Rural Cargo,N11,2,1.217391
Rural Cargo,N11,2,1.775281
Rural Cargo,N11,2,2.238532
Rural Cargo,N11,2,2.775194
Rural Cargo,N11,2,3.221477
Rural Cargo,N11,2,3.727811
Rural Cargo,N12,4,0.2758621
Rural Cargo,N12,4,0.8571429
Rural Cargo,N12,2,1.217391
Rural Cargo,N12,2,1.775281
Rural Cargo,N12,4,2.220183
Rural Cargo,N12,3,2.775194
Rural Cargo,N12,3,3.221477
Rural Cargo,N12,3,3.715976
Rural Cargo,N13,3,0.2758621
Rural Cargo,N13,3,0.8571429
Rural Cargo,N13,2,1.246377
Rural Cargo,N13,2,1.775281
Rural Cargo,N13,2,2.238532
Rural Cargo,N13,2,2.775194
Rural Cargo,N13,2,3.221477
Rural Cargo,N13,2,3.727811
Rural Cargo,N14,3,0.2758621
Rural Cargo,N14,2,0.8571429
Rural Cargo,N14,2,1.217391
Rural Cargo,N14,2,1.775281
Rural Cargo,N14,2,2.238532
Rural Cargo,N14,1,2.775194
Rural Cargo,N14,1,3.221477
Rural Cargo,N14,1,3.715976
Rural Cargo,N15,4,0.2758621
Rural Cargo,N15,4,0.8571429
Rural Cargo,N15,4,1.246377
Rural Cargo,N15,4,1.775281
Rural Cargo,N15,4,2.238532
Rural Cargo,N15,4,2.775194
Rural Cargo,N15,4,3.221477
Rural Cargo,N15,3,3.727811
Rural Cargo,N16,4,0.2758621
Rural Cargo,N16,4,0.8571429
Rural Cargo,N16,4,1.246377
Rural Cargo,N16,3,1.775281
Rural Cargo,N16,3,2.238532
Rural Cargo,N16,3,2.790698
Rural Cargo,N16,3,3.221477
Rural Cargo,N16,3,3.727811
Rural Cargo,N17,4,0.2758621
Rural Cargo,N17,3,0.8571429
Rural Cargo,N17,3,1.217391
Rural Cargo,N17,2,1.775281
Rural Cargo,N17,2,2.220183
Rural Cargo,N17,2,2.775194
Rural Cargo,N17,2,3.221477
Rural Cargo,N17,2,3.715976
Rural Cargo,N18,3,0.2758621
Rural Cargo,N18,3,0.8571429
Rural Cargo,N18,3,1.246377
Rural Cargo,N18,2,1.775281
Rural Cargo,N18,2,2.238532
Rural Cargo,N18,2,2.775194
Rural Cargo,N18,2,3.221477
Rural Cargo,N18,2,3.727811
Rural Cargo,N19,1,0.2758621
Rural Cargo,N19,2,0.8571429
Rural Cargo,N19,1,1.246377
Rural Cargo,N19,1,1.775281
Rural Cargo,N19,1,2.238532
Rural Cargo,N19,1,2.775194
Rural Cargo,N19,1,3.221477
Rural Cargo,N19,1,3.715976
Rural Cargo,N20,4,0.2758621
Rural Cargo,N20,4,0.8571429
Rural Cargo,N20,3,1.217391
Rural Cargo,N20,2,1.775281
Rural Cargo,N20,2,2.220183
Rural Cargo,N20,2,2.775194
Rural Cargo,N20,2,3.221477
Rural Cargo,N20,2,3.727811
Rural Cargo,D04,5,0.2758621
Rural Cargo,D04,5,0.8571429
Rural Cargo,D04,3,1.246377
Rural Cargo,D04,1,1.775281
Rural Cargo,D05,3,0.2758621
Rural Cargo,D05,3,0.8571429
Rural Cargo,D05,3,1.246377
Rural Cargo,D05,3,1.775281
Rural Cargo,D05,3,2.238532
Rural Cargo,D05,3,2.790698
Rural Cargo,D05,3,3.221477
Rural Cargo,D05,3,3.751479
Rural Cargo,D06,5,0.2758621
Rural Cargo,D06,5,0.8571429
Rural Cargo,D06,5,1.246377
Rural Cargo,D06,4,1.775281
Rural Cargo,D06,4,2.238532
Rural Cargo,D06,3,2.775194
Rural Cargo,D06,2,3.221477
Rural Cargo,D06,1,3.727811
Rural Cargo,D07,5,0.2758621
Rural Cargo,D07,4,0.8571429
Rural Cargo,D07,4,1.246377
Rural Cargo,D07,4,1.775281
Rural Cargo,D07,2,2.238532
Rural Cargo,D07,2,2.775194
Rural Cargo,D07,2,3.221477
Rural Cargo,D07,2,3.739645
Rural Cargo,D08,4,0.2758621
Rural Cargo,D08,3,0.8571429
Rural Cargo,D08,2,1.246377
Rural Cargo,D08,2,1.775281
Rural Cargo,D08,1,2.238532
Rural Cargo,D09,5,0.2758621
Rural Cargo,D09,4,0.8571429
Rural Cargo,D09,4,1.246377
Rural Cargo,D09,4,1.775281
Rural Cargo,D09,4,2.238532
Rural Cargo,D09,4,2.790698
Rural Cargo,D09,4,3.221477
Rural Cargo,D09,4,3.751479
Rural Cargo,D10,4,0.2758621
Rural Cargo,D10,3,0.8571429
Rural Cargo,D10,1,1.217391
Rural Cargo,D11,3,0.2758621
Rural Cargo,D11,5,0.8571429
Rural Cargo,D11,2,1.246377
Rural Cargo,D11,1,1.775281
Rural Cargo,D12,5,0.2758621
Rural Cargo,D12,4,0.8571429
Rural Cargo,D12,3,1.217391
Rural Cargo,D12,3,1.775281
Rural Cargo,D12,2,2.238532
Rural Cargo,D12,2,2.775194
Rural Cargo,D12,1,3.221477
Rural Cargo,D13,2,0.2758621
Rural Cargo,D13,1,0.8571429
Rural Passenger,N01,3,0.2758621
Rural Passenger,N01,2,0.8571429
Rural Passenger,N01,1,1.246377
Rural Passenger,N01,1,1.775281
Rural Passenger,N01,1,2.238532
Rural Passenger,N01,1,2.75969
Rural Passenger,N02,4,0.2758621
Rural Passenger,N02,3,0.8571429
Rural Passenger,N02,2,1.246377
Rural Passenger,N02,1,1.775281
Rural Passenger,N02,1,2.238532
Rural Passenger,N02,1,2.75969
Rural Passenger,N03,2,0.2758621
Rural Passenger,N03,2,0.8571429
Rural Passenger,N03,1,1.246377
Rural Passenger,N03,1,1.775281
Rural Passenger,N03,1,2.238532
Rural Passenger,N04,4,0.2758621
Rural Passenger,N04,3,0.8571429
Rural Passenger,N04,3,1.246377
Rural Passenger,N04,3,1.775281
Rural Passenger,N04,3,2.238532
Rural Passenger,N04,2,2.790698
Rural Passenger,N04,2,3.234899
Rural Passenger,N04,2,3.763314
Rural Passenger,N05,5,0.2758621
Rural Passenger,N05,4,0.8571429
Rural Passenger,N05,4,1.246377
Rural Passenger,N05,2,1.775281
Rural Passenger,N05,2,2.238532
Rural Passenger,N05,2,2.790698
Rural Passenger,N05,1,3.234899
Rural Passenger,N05,1,3.763314
Rural Passenger,N06,4,0.2758621
Rural Passenger,N06,4,0.8571429
Rural Passenger,N06,4,1.246377
Rural Passenger,N06,4,1.775281
Rural Passenger,N06,4,2.238532
Rural Passenger,N06,4,2.790698
Rural Passenger,N06,4,3.208054
Rural Passenger,N06,4,3.751479
Rural Passenger,N07,2,0.2758621
Rural Passenger,N07,1,0.8571429
Rural Passenger,N07,1,1.246377
Rural Passenger,N07,1,1.775281
Rural Passenger,N07,1,2.238532
Rural Passenger,N07,1,2.75969
Rural Passenger,N07,1,3.208054
Rural Passenger,N07,1,3.751479
Rural Passenger,N08,4,0.2758621
Rural Passenger,N08,4,0.8571429
Rural Passenger,N08,3,1.235294
Rural Passenger,N08,3,1.727273
Rural Passenger,N08,3,2.185185
Rural Passenger,N08,3,2.75969
Rural Passenger,N08,2,3.221477
Rural Passenger,N08,2,3.751479
Rural Passenger,N09,2,0.2758621
Rural Passenger,N09,2,0.8571429
Rural Passenger,N09,2,1.246377
Rural Passenger,N09,2,1.775281
Rural Passenger,N09,2,2.238532
Rural Passenger,N09,2,2.75969
Rural Passenger,N09,2,3.208054
Rural Passenger,N09,2,3.751479
Rural Passenger,N10,3,0.2758621
Rural Passenger,N10,3,0.8571429
Rural Passenger,N10,3,1.246377
Rural Passenger,N10,3,1.775281
Rural Passenger,N10,2,2.238532
Rural Passenger,N10,2,2.775194
Rural Passenger,N10,2,3.208054
Rural Passenger,N10,2,3.751479
Rural Passenger,N11,4,0.2758621
Rural Passenger,N11,2,0.8571429
Rural Passenger,N11,2,1.246377
Rural Passenger,N11,2,1.775281
Rural Passenger,N11,2,2.238532
Rural Passenger,N11,2,2.790698
Rural Passenger,N11,2,3.221477
Rural Passenger,N11,2,3.763314
Rural Passenger,N12,4,0.2758621
Rural Passenger,N12,4,0.8571429
Rural Passenger,N12,4,1.217391
Rural Passenger,N12,4,1.775281
Rural Passenger,N12,4,2.238532
Rural Passenger,N12,4,2.75969
Rural Passenger,N12,4,3.208054
Rural Passenger,N12,4,3.739645
Rural Passenger,N13,4,0.2758621
Rural Passenger,N13,4,0.8571429
Rural Passenger,N13,4,1.246377
Rural Passenger,N13,4,1.775281
Rural Passenger,N13,4,2.238532
Rural Passenger,N13,4,2.790698
Rural Passenger,N13,4,3.234899
Rural Passenger,N13,4,3.763314
Rural Passenger,N14,3,0.2758621
Rural Passenger,N14,2,0.8571429
Rural Passenger,N14,2,1.246377
Rural Passenger,N14,2,1.775281
Rural Passenger,N14,1,2.238532
Rural Passenger,N14,1,2.775194
Rural Passenger,N14,1,3.234899
Rural Passenger,N14,1,3.763314
Rural Passenger,N15,4,0.2758621
Rural Passenger,N15,4,0.8571429
Rural Passenger,N15,4,1.246377
Rural Passenger,N15,4,1.775281
Rural Passenger,N15,3,2.238532
Rural Passenger,N15,3,2.775194
Rural Passenger,N15,3,3.221477
Rural Passenger,N15,3,3.763314
Rural Passenger,N16,4,0.2758621
Rural Passenger,N16,4,0.8571429
Rural Passenger,N16,4,1.246377
Rural Passenger,N16,4,1.775281
Rural Passenger,N16,4,2.238532
Rural Passenger,N16,4,2.790698
Rural Passenger,N16,4,3.221477
Rural Passenger,N16,4,3.763314
Rural Passenger,N18,3,0.2758621
Rural Passenger,N18,5,0.8571429
Rural Passenger,N18,2,1.246377
Rural Passenger,N18,2,1.775281
Rural Passenger,N18,2,2.238532
Rural Passenger,N18,2,2.790698
Rural Passenger,N18,2,3.208054
Rural Passenger,N18,2,3.763314
Rural Passenger,N19,2,0.2758621
Rural Passenger,N19,1,0.8571429
Rural Passenger,N19,1,1.246377
Rural Passenger,N19,1,1.752809
Rural Passenger,N19,1,2.238532
Rural Passenger,N19,1,2.75969
Rural Passenger,N19,1,3.208054
Rural Passenger,N19,1,3.739645
Rural Passenger,N20,5,0.2758621
Rural Passenger,N20,4,0.8571429
Rural Passenger,N20,3,1.246377
Rural Passenger,N20,3,1.775281
Rural Passenger,N20,2,2.238532
Rural Passenger,N20,2,2.75969
Rural Passenger,N20,2,3.208054
Rural Passenger,N20,2,3.739645
Rural Passenger,D04,5,0.2758621
Rural Passenger,D04,5,0.8571429
Rural Passenger,D04,4,1.246377
Rural Passenger,D04,4,1.775281
Rural Passenger,D04,4,2.238532
Rural Passenger,D04,1,2.775194
Rural Passenger,D05,5,0.2758621
Rural Passenger,D05,5,0.8571429
Rural Passenger,D05,5,1.246377
Rural Passenger,D05,5,1.775281
Rural Passenger,D05,5,2.238532
Rural Passenger,D05,5,2.790698
Rural Passenger,D05,5,3.234899
Rural Passenger,D05,5,3.763314
Rural Passenger,D06,5,0.2758621
Rural Passenger,D06,5,0.8571429
Rural Passenger,D06,5,1.246377
Rural Passenger,D06,5,1.775281
Rural Passenger,D06,5,2.238532
Rural Passenger,D06,5,2.790698
Rural Passenger,D06,4,3.234899
Rural Passenger,D06,4,3.763314
Rural Passenger,D07,5,0.2758621
Rural Passenger,D07,4,0.8571429
Rural Passenger,D07,4,1.246377
Rural Passenger,D07,4,1.775281
Rural Passenger,D07,4,2.238532
Rural Passenger,D07,2,2.790698
Rural Passenger,D07,2,3.221477
Rural Passenger,D07,2,3.763314
Rural Passenger,D08,4,0.2758621
Rural Passenger,D08,4,0.8571429
Rural Passenger,D08,3,1.246377
Rural Passenger,D08,2,1.775281
Rural Passenger,D08,2,2.238532
Rural Passenger,D08,2,2.790698
Rural Passenger,D08,2,3.234899
Rural Passenger,D08,2,3.763314
Rural Passenger,D09,5,0.2758621
Rural Passenger,D09,4,0.8571429
Rural Passenger,D09,3,1.246377
Rural Passenger,D09,3,1.775281
Rural Passenger,D09,3,2.238532
Rural Passenger,D09,2,2.790698
Rural Passenger,D09,2,3.234899
Rural Passenger,D09,2,3.763314
Rural Passenger,D10,4,0.2758621
Rural Passenger,D10,3,0.8571429
Rural Passenger,D10,2,1.246377
Rural Passenger,D10,2,1.775281
Rural Passenger,D10,1,2.238532
Rural Passenger,D11,5,0.2758621
Rural Passenger,D11,4,0.8571429
Rural Passenger,D11,3,1.246377
Rural Passenger,D11,1,1.775281
Rural Passenger,D12,3,0.2758621
Rural Passenger,D12,4,0.8571429
Rural Passenger,D12,3,1.246377
Rural Passenger,D12,4,1.775281
Rural Passenger,D12,3,2.238532
Rural Passenger,D12,3,2.790698
Rural Passenger,D12,3,3.221477
Rural Passenger,D12,3,3.763314
Rural Passenger,D13,2,0.2758621
Rural Passenger,D13,1,0.8571429
Rural Sensing,N01,3,0.9852217
Rural Sensing,N01,2,2.41566
Rural Sensing,N01,2,3.845016
Rural Sensing,N01,1,5.503325
Rural Sensing,N01,1,7.03988
Rural Sensing,N01,1,8.226546
Rural Sensing,N02,5,0.9852217
Rural Sensing,N02,4,2.41566
Rural Sensing,N02,2,3.845016
Rural Sensing,N02,1,5.503325
Rural Sensing,N02,1,7.03988
Rural Sensing,N03,2,0.9852217
Rural Sensing,N03,3,2.41566
Rural Sensing,N03,3,3.845016
Rural Sensing,N03,2,5.503325
Rural Sensing,N03,1,7.03988
Rural Sensing,N03,1,8.226546
Rural Sensing,N04,4,0.9852217
Rural Sensing,N04,4,2.41566
Rural Sensing,N04,4,3.845016
Rural Sensing,N04,2,5.503325
Rural Sensing,N04,2,7.03988
Rural Sensing,N04,2,8.226546
Rural Sensing,N04,2,9.149431
Rural Sensing,N04,2,9.902185
Rural Sensing,N05,2,0.9852217
Rural Sensing,N05,1,2.41566
Rural Sensing,N05,1,3.845016
Rural Sensing,N06,4,0.9852217
Rural Sensing,N06,4,2.41566
Rural Sensing,N06,4,3.845016
Rural Sensing,N06,4,5.503325
Rural Sensing,N06,4,7.03988
Rural Sensing,N06,4,8.226546
Rural Sensing,N06,4,9.149431
Rural Sensing,N06,3,9.829731
Rural Sensing,N07,3,0.9852217
Rural Sensing,N07,1,2.41566
Rural Sensing,N07,1,3.845016
Rural Sensing,N07,1,5.503325
Rural Sensing,N07,1,7.03988
Rural Sensing,N07,1,8.226546
Rural Sensing,N07,1,9.149431
Rural Sensing,N07,1,9.829731
Rural Sensing,N08,4,0.9852217
Rural Sensing,N08,4,2.41566
Rural Sensing,N08,4,3.845016
Rural Sensing,N08,3,5.503325
Rural Sensing,N08,3,7.03988
Rural Sensing,N08,3,8.226546
Rural Sensing,N08,3,9.149431
Rural Sensing,N08,3,9.829731
Rural Sensing,N09,4,0.9852217
Rural Sensing,N09,4,2.41566
Rural Sensing,N09,3,3.845016
Rural Sensing,N09,3,5.503325
Rural Sensing,N09,2,7.03988
Rural Sensing,N09,2,8.226546
Rural Sensing,N09,2,9.149431
Rural Sensing,N09,2,9.829731
Rural Sensing,N10,4,0.9852217
Rural Sensing,N10,4,2.41566
Rural Sensing,N10,4,3.845016
Rural Sensing,N10,3,5.503325
Rural Sensing,N10,3,7.03988
Rural Sensing,N10,2,8.226546
Rural Sensing,N10,2,9.149431
Rural Sensing,N10,2,9.853883
Rural Sensing,N11,3,0.9852217
Rural Sensing,N11,3,2.41566
Rural Sensing,N11,3,3.845016
Rural Sensing,N11,2,5.503325
Rural Sensing,N11,2,7.03988
Rural Sensing,N11,2,8.226546
Rural Sensing,N11,2,9.176826
Rural Sensing,N11,2,9.853883
Rural Sensing,N12,3,0.9852217
Rural Sensing,N12,3,2.41566
Rural Sensing,N12,4,3.845016
Rural Sensing,N12,2,5.503325
Rural Sensing,N12,3,7.03988
Rural Sensing,N12,3,8.226546
Rural Sensing,N12,3,9.122038
Rural Sensing,N12,3,9.829731
Rural Sensing,N13,5,0.9852217
Rural Sensing,N13,5,2.41566
Rural Sensing,N13,4,3.845016
Rural Sensing,N13,4,5.503325
Rural Sensing,N13,4,7.03988
Rural Sensing,N13,4,8.226546
Rural Sensing,N13,4,9.122038
Rural Sensing,N13,4,9.853883
Rural Sensing,N14,3,0.9852217
Rural Sensing,N14,2,2.41566
Rural Sensing,N14,2,3.845016
Rural Sensing,N14,2,5.503325
Rural Sensing,N14,2,7.03988
Rural Sensing,N14,1,8.226546
Rural Sensing,N14,1,9.122038
Rural Sensing,N14,1,9.829731
Rural Sensing,N15,4,0.9852217
Rural Sensing,N15,4,2.41566
Rural Sensing,N15,5,3.845016
Rural Sensing,N15,4,5.503325
Rural Sensing,N15,5,7.03988
Rural Sensing,N15,5,8.226546
Rural Sensing,N15,5,9.149431
Rural Sensing,N15,4,9.829731
Rural Sensing,N16,5,0.9852217
Rural Sensing,N16,4,2.41566
Rural Sensing,N16,4,3.845016
Rural Sensing,N16,3,5.503325
Rural Sensing,N16,2,7.03988
Rural Sensing,N16,2,8.226546
Rural Sensing,N16,2,9.149431
Rural Sensing,N16,2,9.829731
Rural Sensing,N17,4,0.9852217
Rural Sensing,N17,3,2.41566
Rural Sensing,N17,3,3.845016
Rural Sensing,N17,2,5.503325
Rural Sensing,N17,2,7.03988
Rural Sensing,N17,2,8.226546
Rural Sensing,N17,2,9.149431
Rural Sensing,N17,2,9.853883
Rural Sensing,N18,4,0.9852217
Rural Sensing,N18,3,2.41566
Rural Sensing,N18,3,3.845016
Rural Sensing,N18,3,5.503325
Rural Sensing,N18,2,7.03988
Rural Sensing,N18,2,8.258187
Rural Sensing,N18,2,9.122038
Rural Sensing,N18,2,9.829731
Rural Sensing,N19,3,0.9852217
Rural Sensing,N19,2,2.41566
Rural Sensing,N19,2,3.845016
Rural Sensing,N19,2,5.503325
Rural Sensing,N19,1,7.03988
Rural Sensing,N19,1,8.226546
Rural Sensing,N19,1,9.122038
Rural Sensing,N19,1,9.829731
Rural Sensing,N20,5,0.9852217
Rural Sensing,N20,3,2.41566
Rural Sensing,N20,3,3.845016
Rural Sensing,N20,2,5.503325
Rural Sensing,N20,2,7.03988
Rural Sensing,N20,2,8.226546
Rural Sensing,N20,2,9.149431
Rural Sensing,N20,2,9.829731
Rural Sensing,D04,5,0.9852217
Rural Sensing,D04,3,2.41566
Rural Sensing,D04,1,3.845016
Rural Sensing,D05,4,0.9852217
Rural Sensing,D05,4,2.41566
Rural Sensing,D05,4,3.845016
Rural Sensing,D05,4,5.503325
Rural Sensing,D05,4,7.03988
Rural Sensing,D05,4,8.226546
Rural Sensing,D05,5,9.149431
Rural Sensing,D05,5,9.853883
Rural Sensing,D06,5,0.9852217
Rural Sensing,D06,4,2.41566
Rural Sensing,D06,4,3.845016
Rural Sensing,D06,4,5.503325
Rural Sensing,D06,4,7.03988
Rural Sensing,D06,3,8.226546
Rural Sensing,D06,1,9.149431
Rural Sensing,D07,5,0.9852217
Rural Sensing,D07,5,2.41566
Rural Sensing,D07,4,3.845016
Rural Sensing,D07,4,5.503325
Rural Sensing,D07,4,7.03988
Rural Sensing,D07,3,8.226546
Rural Sensing,D07,2,9.149431
Rural Sensing,D07,2,9.878034
Rural Sensing,D08,4,0.9852217
Rural Sensing,D08,4,2.41566
Rural Sensing,D08,3,3.845016
Rural Sensing,D08,3,5.503325
Rural Sensing,D08,2,7.03988
Rural Sensing,D08,3,8.226546
Rural Sensing,D08,3,9.149431
Rural Sensing,D08,3,9.829731
Rural Sensing,D09,5,0.9852217
Rural Sensing,D09,5,2.41566
Rural Sensing,D09,5,3.845016
Rural Sensing,D09,5,5.503325
Rural Sensing,D09,3,7.03988
Rural Sensing,D09,5,8.226546
Rural Sensing,D09,5,9.176826
Rural Sensing,D09,5,9.902185
Rural Sensing,D10,5,0.9852217
Rural Sensing,D10,2,2.41566
Rural Sensing,D10,2,3.845016
Rural Sensing,D10,2,5.503325
Rural Sensing,D10,1,7.03988
Rural Sensing,D11,5,0.9852217
Rural Sensing,D11,5,2.41566
Rural Sensing,D11,3,3.845016
Rural Sensing,D11,1,5.503325
Rural Sensing,D12,5,0.9852217
Rural Sensing,D12,5,2.41566
Rural Sensing,D12,4,3.845016
Rural Sensing,D12,4,5.503325
Rural Sensing,D12,4,7.03988
Rural Sensing,D12,2,8.226546
Rural Sensing,D12,1,9.176826
Rural Sensing,D13,2,0.9852217
Rural Sensing,D13,1,2.41566
Urban Cargo,N01,4,0.2068966
Urban Cargo,N01,4,0.8163266
Urban Cargo,N01,3,1.188406
Urban Cargo,N01,3,1.775281
Urban Cargo,N01,2,2.201835
Urban Cargo,N01,2,2.744186
Urban Cargo,N01,1,3.208054
Urban Cargo,N01,1,3.751479
Urban Cargo,N02,5,0.2068966
Urban Cargo,N02,5,0.8163266
Urban Cargo,N02,4,1.188406
Urban Cargo,N02,2,1.775281
Urban Cargo,N02,1,2.201835
Urban Cargo,N02,1,2.744186
Urban Cargo,N03,5,0.2068966
Urban Cargo,N03,3,0.8163266
Urban Cargo,N03,2,1.188406
Urban Cargo,N03,2,1.775281
Urban Cargo,N03,1,2.201835
Urban Cargo,N04,4,0.2068966
Urban Cargo,N04,3,0.8163266
Urban Cargo,N04,3,1.188406
Urban Cargo,N04,3,1.775281
